Incident ID,Incident Date,Location,Department,Incident Type,Severity,Lost Time Injury,Days Lost,Root Cause,Corrective Action,Responsible Owner,Target Close Date,Status
HSE-0001,2025-08-21,Narayanganj Production Plant,Production,Unsafe Condition,Low,No,0,Slip / Trip,5S housekeeping action,Md. Shahidul Islam,2025-08-30,In Progress
HSE-0002,2025-01-19,Gazipur Manufacturing Unit,Production,Near Miss,Low,No,0,Inadequate Guarding,PPE reinforcement,Md. Shahidul Islam,2025-02-14,Closed
HSE-0003,2025-01-28,Gazipur Manufacturing Unit,Production,Medical Treatment Case,Medium,No,0,Housekeeping,Supervisor coaching,Abdul Karim,2025-02-13,Closed
HSE-0004,2025-01-28,Rajshahi Regional Office,Production,Near Miss,Low,No,0,Inadequate Guarding,PPE reinforcement,Md. Shahidul Islam,2025-02-17,Closed
HSE-0005,2025-11-19,Dhaka Corporate Office,Production,Property Damage,Medium,No,0,Manual Handling,Preventive maintenance completed,Md. Shahidul Islam,2025-12-10,Closed
HSE-0006,2025-06-21,Chattogram Distribution Hub,Quality Assurance,Property Damage,Medium,No,0,Equipment Condition,Toolbox talk and retraining,Dr. Samira Sultana,2025-07-03,Closed
HSE-0007,2025-10-11,Narayanganj Production Plant,Supply Chain & Logistics,Lost Time Injury,High,Yes,4,Equipment Condition,Toolbox talk and retraining,Mahmudul Hasan,2025-11-02,Closed
HSE-0008,2025-09-13,Gazipur Manufacturing Unit,Production,First Aid Case,Low,No,0,Equipment Condition,Engineering control installed,Abdul Karim,2025-09-29,Closed
HSE-0009,2025-10-07,Rajshahi Regional Office,Engineering & Maintenance,First Aid Case,Low,No,0,Unsafe Act,Engineering control installed,Md. Moniruzzaman,2025-11-04,Closed
HSE-0010,2025-12-18,Chattogram Distribution Hub,Engineering & Maintenance,Lost Time Injury,High,Yes,3,Procedure Not Followed,SOP revised,Rakibul Hasan,2025-12-25,Closed
HSE-0011,2025-09-15,Gazipur Manufacturing Unit,Production,Lost Time Injury,High,Yes,4,Equipment Condition,Toolbox talk and retraining,Abdul Karim,2025-10-13,Closed
HSE-0012,2025-04-13,Gazipur Manufacturing Unit,Quality Assurance,Property Damage,Medium,No,0,PPE Non-compliance,Engineering control installed,Dr. Samira Sultana,2025-04-22,Closed
HSE-0013,2025-06-17,Gazipur Manufacturing Unit,Production,Unsafe Condition,Low,No,0,Slip / Trip,SOP revised,Abdul Karim,2025-07-07,Closed
HSE-0014,2025-04-27,Narayanganj Production Plant,Production,Near Miss,Low,No,0,Slip / Trip,Toolbox talk and retraining,Abdul Karim,2025-05-24,Closed
HSE-0015,2025-03-17,Narayanganj Production Plant,HR & Administration,Property Damage,Medium,No,0,Housekeeping,SOP revised,Nusrat Jahan,2025-03-28,Closed
HSE-0016,2025-07-06,Gazipur Manufacturing Unit,Quality Assurance,Near Miss,Low,No,0,Procedure Not Followed,Engineering control installed,Ashikur Rahman,2025-07-13,In Progress
HSE-0017,2025-02-23,Gazipur Manufacturing Unit,Production,Near Miss,Low,No,0,Housekeeping,Toolbox talk and retraining,Abdul Karim,2025-03-23,Closed
HSE-0018,2025-07-09,Gazipur Manufacturing Unit,Quality Assurance,First Aid Case,Low,No,0,Housekeeping,Toolbox talk and retraining,Dr. Samira Sultana,2025-07-25,In Progress
HSE-0019,2025-03-24,Narayanganj Production Plant,HR & Administration,Medical Treatment Case,Medium,No,0,Slip / Trip,5S housekeeping action,Nusrat Jahan,2025-04-14,Closed
HSE-0020,2025-07-14,Gazipur Manufacturing Unit,Production,Near Miss,Low,No,0,PPE Non-compliance,Engineering control installed,Md. Shahidul Islam,2025-07-27,Closed
HSE-0021,2025-04-13,Chattogram Distribution Hub,Supply Chain & Logistics,Unsafe Condition,Low,No,0,Housekeeping,Toolbox talk and retraining,Rezaul Karim,2025-05-06,Closed
HSE-0022,2025-08-25,Narayanganj Production Plant,Supply Chain & Logistics,Unsafe Condition,Low,No,0,PPE Non-compliance,PPE reinforcement,Mahmudul Hasan,2025-09-13,Closed
HSE-0023,2025-06-19,Gazipur Manufacturing Unit,Quality Assurance,Near Miss,Low,No,0,Procedure Not Followed,Supervisor coaching,Ashikur Rahman,2025-06-27,Closed
HSE-0024,2025-06-28,Narayanganj Production Plant,Quality Assurance,First Aid Case,Low,No,0,Equipment Condition,Preventive maintenance completed,Dr. Samira Sultana,2025-07-15,Closed
HSE-0025,2025-04-15,Narayanganj Production Plant,Production,Near Miss,Low,No,0,Manual Handling,5S housekeeping action,Md. Shahidul Islam,2025-05-13,Closed
HSE-0026,2025-09-18,Narayanganj Production Plant,Production,Medical Treatment Case,Medium,No,1,Procedure Not Followed,5S housekeeping action,Md. Shahidul Islam,2025-10-06,Closed
HSE-0027,2025-12-03,Gazipur Manufacturing Unit,Production,Unsafe Condition,Low,No,0,Housekeeping,Toolbox talk and retraining,Abdul Karim,2025-12-19,Closed
HSE-0028,2025-03-02,Narayanganj Production Plant,Supply Chain & Logistics,Unsafe Condition,Low,No,0,Procedure Not Followed,5S housekeeping action,Rezaul Karim,2025-03-21,Closed
HSE-0029,2025-05-15,Narayanganj Production Plant,Engineering & Maintenance,Near Miss,Low,No,0,Equipment Condition,Toolbox talk and retraining,Rakibul Hasan,2025-06-03,Closed
HSE-0030,2025-05-10,Chattogram Distribution Hub,Production,Unsafe Condition,Low,No,0,Equipment Condition,PPE reinforcement,Md. Shahidul Islam,2025-05-30,Closed
HSE-0031,2025-02-01,Narayanganj Production Plant,Engineering & Maintenance,Near Miss,Low,No,0,Housekeeping,Toolbox talk and retraining,Md. Moniruzzaman,2025-02-14,Closed
HSE-0032,2025-09-08,Narayanganj Production Plant,Production,Near Miss,Low,No,0,PPE Non-compliance,5S housekeeping action,Md. Shahidul Islam,2025-09-16,Closed
HSE-0033,2025-02-08,Dhaka Corporate Office,Sales & Marketing,Near Miss,Low,No,0,Housekeeping,5S housekeeping action,Farzana Rahman,2025-02-16,Closed
HSE-0034,2025-01-19,Gazipur Manufacturing Unit,Sales & Marketing,Near Miss,Low,No,0,Unsafe Act,Engineering control installed,Tanvir Ahmed,2025-02-15,Closed
HSE-0035,2025-05-27,Gazipur Manufacturing Unit,Engineering & Maintenance,Unsafe Condition,Low,No,0,Housekeeping,SOP revised,Md. Moniruzzaman,2025-06-08,In Progress
HSE-0036,2025-02-15,Gazipur Manufacturing Unit,Production,Unsafe Condition,Low,No,0,Equipment Condition,Preventive maintenance completed,Abdul Karim,2025-03-09,Closed
HSE-0037,2025-12-22,Narayanganj Production Plant,Production,First Aid Case,Low,No,0,Manual Handling,Supervisor coaching,Abdul Karim,2026-01-07,Closed
HSE-0038,2025-03-13,Gazipur Manufacturing Unit,HR & Administration,Lost Time Injury,High,Yes,3,Inadequate Guarding,5S housekeeping action,Nusrat Jahan,2025-03-23,In Progress
HSE-0039,2025-10-07,Gazipur Manufacturing Unit,Engineering & Maintenance,Near Miss,Low,No,0,Manual Handling,PPE reinforcement,Md. Moniruzzaman,2025-10-21,In Progress
HSE-0040,2025-12-16,Narayanganj Production Plant,Sales & Marketing,First Aid Case,Low,No,0,Inadequate Guarding,PPE reinforcement,Tanvir Ahmed,2026-01-01,Closed
HSE-0041,2025-03-09,Gazipur Manufacturing Unit,Supply Chain & Logistics,First Aid Case,Low,No,0,Manual Handling,PPE reinforcement,Mahmudul Hasan,2025-03-17,Closed
HSE-0042,2025-08-12,Gazipur Manufacturing Unit,Production,Unsafe Condition,Low,No,0,Housekeeping,Toolbox talk and retraining,Abdul Karim,2025-08-26,Closed
HSE-0043,2025-12-01,Gazipur Manufacturing Unit,Production,First Aid Case,Low,No,0,Slip / Trip,Preventive maintenance completed,Abdul Karim,2025-12-30,Closed
HSE-0044,2025-08-14,Chattogram Distribution Hub,Production,Medical Treatment Case,Medium,No,0,Unsafe Act,Supervisor coaching,Md. Shahidul Islam,2025-09-07,Closed
HSE-0045,2025-02-23,Gazipur Manufacturing Unit,Quality Assurance,Lost Time Injury,High,Yes,10,Equipment Condition,Supervisor coaching,Ashikur Rahman,2025-03-20,Closed
HSE-0046,2025-06-04,Gazipur Manufacturing Unit,Production,Unsafe Condition,Low,No,0,Equipment Condition,SOP revised,Md. Shahidul Islam,2025-06-13,Closed
HSE-0047,2025-01-23,Gazipur Manufacturing Unit,Production,Near Miss,Low,No,0,Slip / Trip,Preventive maintenance completed,Md. Shahidul Islam,2025-02-21,Closed
HSE-0048,2025-02-02,Dhaka Corporate Office,Supply Chain & Logistics,Medical Treatment Case,Medium,No,2,Equipment Condition,5S housekeeping action,Mahmudul Hasan,2025-02-26,Closed
HSE-0049,2025-03-02,Narayanganj Production Plant,Supply Chain & Logistics,Medical Treatment Case,Medium,No,1,Unsafe Act,PPE reinforcement,Rezaul Karim,2025-03-26,Closed
HSE-0050,2025-07-03,Narayanganj Production Plant,Engineering & Maintenance,Medical Treatment Case,Medium,No,1,Unsafe Act,Preventive maintenance completed,Rakibul Hasan,2025-07-29,Closed
HSE-0051,2025-07-19,Gazipur Manufacturing Unit,Supply Chain & Logistics,Near Miss,Low,No,0,Unsafe Act,Toolbox talk and retraining,Rezaul Karim,2025-07-29,Closed
HSE-0052,2025-03-25,Rajshahi Regional Office,Engineering & Maintenance,First Aid Case,Low,No,0,Slip / Trip,Toolbox talk and retraining,Rakibul Hasan,2025-04-09,In Progress
HSE-0053,2025-12-02,Gazipur Manufacturing Unit,Production,First Aid Case,Low,No,0,Equipment Condition,PPE reinforcement,Md. Shahidul Islam,2025-12-11,Closed
HSE-0054,2025-06-06,Chattogram Distribution Hub,Production,First Aid Case,Low,No,0,Unsafe Act,Toolbox talk and retraining,Md. Shahidul Islam,2025-06-20,In Progress
HSE-0055,2025-08-28,Chattogram Distribution Hub,Production,First Aid Case,Low,No,0,Procedure Not Followed,PPE reinforcement,Md. Shahidul Islam,2025-09-18,In Progress
HSE-0056,2025-08-09,Narayanganj Production Plant,Engineering & Maintenance,Unsafe Condition,Low,No,0,Manual Handling,Preventive maintenance completed,Rakibul Hasan,2025-08-31,Closed
HSE-0057,2025-01-17,Narayanganj Production Plant,Production,Unsafe Condition,Low,No,0,Equipment Condition,SOP revised,Abdul Karim,2025-02-01,Closed
HSE-0058,2025-11-19,Gazipur Manufacturing Unit,Production,Medical Treatment Case,Medium,No,2,Equipment Condition,Toolbox talk and retraining,Md. Shahidul Islam,2025-12-10,Closed
HSE-0059,2025-12-13,Gazipur Manufacturing Unit,Production,Near Miss,Low,No,0,Unsafe Act,Toolbox talk and retraining,Md. Shahidul Islam,2026-01-09,Closed
HSE-0060,2025-04-12,Gazipur Manufacturing Unit,Production,Property Damage,Medium,No,0,Equipment Condition,Preventive maintenance completed,Abdul Karim,2025-05-02,Closed
HSE-0061,2025-05-15,Gazipur Manufacturing Unit,Production,First Aid Case,Low,No,0,PPE Non-compliance,Toolbox talk and retraining,Abdul Karim,2025-06-02,Closed
HSE-0062,2025-02-07,Chattogram Distribution Hub,Engineering & Maintenance,Near Miss,Low,No,0,Slip / Trip,5S housekeeping action,Rakibul Hasan,2025-02-24,Closed
HSE-0063,2025-12-07,Narayanganj Production Plant,Production,First Aid Case,Low,No,0,Slip / Trip,Engineering control installed,Md. Shahidul Islam,2025-12-18,Closed
HSE-0064,2025-02-11,Gazipur Manufacturing Unit,Production,First Aid Case,Low,No,0,Inadequate Guarding,Engineering control installed,Abdul Karim,2025-03-11,Closed
HSE-0065,2025-02-04,Narayanganj Production Plant,Engineering & Maintenance,Lost Time Injury,High,Yes,16,Manual Handling,Supervisor coaching,Rakibul Hasan,2025-03-03,Closed
HSE-0066,2025-07-20,Narayanganj Production Plant,Supply Chain & Logistics,Near Miss,Low,No,0,PPE Non-compliance,PPE reinforcement,Rezaul Karim,2025-08-14,Closed
HSE-0067,2025-03-01,Narayanganj Production Plant,Engineering & Maintenance,Near Miss,Low,No,0,Procedure Not Followed,Engineering control installed,Md. Moniruzzaman,2025-03-22,Closed
HSE-0068,2025-07-11,Gazipur Manufacturing Unit,Production,First Aid Case,Low,No,0,Housekeeping,Engineering control installed,Abdul Karim,2025-07-24,Closed
HSE-0069,2025-05-06,Chattogram Distribution Hub,Engineering & Maintenance,Unsafe Condition,Low,No,0,Unsafe Act,Supervisor coaching,Md. Moniruzzaman,2025-05-17,Closed
HSE-0070,2025-10-23,Gazipur Manufacturing Unit,Production,Near Miss,Low,No,0,Unsafe Act,Engineering control installed,Md. Shahidul Islam,2025-11-17,Closed
HSE-0071,2025-06-29,Chattogram Distribution Hub,HR & Administration,Near Miss,Low,No,0,Equipment Condition,Toolbox talk and retraining,Md. Imran Hossain,2025-07-15,Closed
HSE-0072,2025-11-24,Rajshahi Regional Office,HR & Administration,First Aid Case,Low,No,0,Procedure Not Followed,PPE reinforcement,Md. Imran Hossain,2025-12-06,Closed
HSE-0073,2025-10-26,Gazipur Manufacturing Unit,Engineering & Maintenance,First Aid Case,Low,No,0,Unsafe Act,PPE reinforcement,Rakibul Hasan,2025-11-08,Closed
HSE-0074,2025-04-13,Gazipur Manufacturing Unit,Production,Property Damage,Medium,No,0,Housekeeping,PPE reinforcement,Md. Shahidul Islam,2025-05-02,Closed
HSE-0075,2025-03-21,Gazipur Manufacturing Unit,Sales & Marketing,Medical Treatment Case,Medium,No,1,Procedure Not Followed,Toolbox talk and retraining,Tanvir Ahmed,2025-04-14,Closed
HSE-0076,2025-05-15,Narayanganj Production Plant,Supply Chain & Logistics,Lost Time Injury,High,Yes,14,Housekeeping,Engineering control installed,Rezaul Karim,2025-06-08,Closed
HSE-0077,2025-11-07,Narayanganj Production Plant,Production,Medical Treatment Case,Medium,No,2,Manual Handling,Preventive maintenance completed,Md. Shahidul Islam,2025-11-20,Closed
HSE-0078,2025-08-12,Gazipur Manufacturing Unit,Production,Medical Treatment Case,Medium,No,2,Manual Handling,Toolbox talk and retraining,Abdul Karim,2025-09-09,Closed
HSE-0079,2025-07-08,Gazipur Manufacturing Unit,Quality Assurance,Medical Treatment Case,Medium,No,1,Manual Handling,SOP revised,Dr. Samira Sultana,2025-07-28,Closed
HSE-0080,2025-02-10,Dhaka Corporate Office,Supply Chain & Logistics,First Aid Case,Low,No,0,Housekeeping,SOP revised,Rezaul Karim,2025-02-19,In Progress
HSE-0081,2025-04-18,Dhaka Corporate Office,Production,Medical Treatment Case,Medium,No,2,Unsafe Act,Engineering control installed,Abdul Karim,2025-05-01,Closed
HSE-0082,2025-07-16,Narayanganj Production Plant,Production,Unsafe Condition,Low,No,0,Manual Handling,Preventive maintenance completed,Md. Shahidul Islam,2025-08-07,Closed
HSE-0083,2025-08-03,Gazipur Manufacturing Unit,Supply Chain & Logistics,Unsafe Condition,Low,No,0,Unsafe Act,Toolbox talk and retraining,Mahmudul Hasan,2025-08-14,In Progress
HSE-0084,2025-09-10,Gazipur Manufacturing Unit,Production,Near Miss,Low,No,0,Inadequate Guarding,Toolbox talk and retraining,Abdul Karim,2025-10-03,In Progress
HSE-0085,2025-07-01,Chattogram Distribution Hub,Engineering & Maintenance,Lost Time Injury,High,Yes,15,Unsafe Act,Engineering control installed,Md. Moniruzzaman,2025-07-19,In Progress
HSE-0086,2025-03-26,Gazipur Manufacturing Unit,Engineering & Maintenance,Unsafe Condition,Low,No,0,Procedure Not Followed,Toolbox talk and retraining,Rakibul Hasan,2025-04-22,Closed
HSE-0087,2025-04-25,Gazipur Manufacturing Unit,Quality Assurance,Unsafe Condition,Low,No,0,Housekeeping,Toolbox talk and retraining,Dr. Samira Sultana,2025-05-06,Closed
HSE-0088,2025-10-30,Gazipur Manufacturing Unit,Supply Chain & Logistics,Unsafe Condition,Low,No,0,Manual Handling,5S housekeeping action,Rezaul Karim,2025-11-27,In Progress
HSE-0089,2025-10-24,Gazipur Manufacturing Unit,Engineering & Maintenance,Near Miss,Low,No,0,Unsafe Act,5S housekeeping action,Md. Moniruzzaman,2025-11-08,Closed
HSE-0090,2025-05-10,Gazipur Manufacturing Unit,Production,Near Miss,Low,No,0,Equipment Condition,Engineering control installed,Md. Shahidul Islam,2025-05-28,Closed
HSE-0091,2025-01-01,Gazipur Manufacturing Unit,HR & Administration,Unsafe Condition,Low,No,0,Inadequate Guarding,Toolbox talk and retraining,Nusrat Jahan,2025-01-24,Closed
HSE-0092,2025-07-09,Dhaka Corporate Office,Engineering & Maintenance,Near Miss,Low,No,0,Housekeeping,5S housekeeping action,Rakibul Hasan,2025-08-08,Closed
HSE-0093,2025-12-21,Narayanganj Production Plant,Production,Unsafe Condition,Low,No,0,Equipment Condition,Supervisor coaching,Abdul Karim,2026-01-07,Closed
HSE-0094,2025-05-03,Gazipur Manufacturing Unit,Supply Chain & Logistics,Near Miss,Low,No,0,Procedure Not Followed,Engineering control installed,Rezaul Karim,2025-06-02,Closed
HSE-0095,2025-06-13,Gazipur Manufacturing Unit,Supply Chain & Logistics,First Aid Case,Low,No,0,Slip / Trip,Preventive maintenance completed,Mahmudul Hasan,2025-06-22,In Progress
HSE-0096,2025-08-20,Gazipur Manufacturing Unit,Quality Assurance,Near Miss,Low,No,0,Slip / Trip,PPE reinforcement,Dr. Samira Sultana,2025-09-01,Closed
HSE-0097,2025-09-10,Narayanganj Production Plant,Production,Near Miss,Low,No,0,Procedure Not Followed,SOP revised,Md. Shahidul Islam,2025-09-25,Closed
HSE-0098,2025-06-09,Gazipur Manufacturing Unit,Quality Assurance,Property Damage,Medium,No,0,Procedure Not Followed,SOP revised,Dr. Samira Sultana,2025-06-16,Closed
HSE-0099,2025-02-10,Narayanganj Production Plant,Production,Near Miss,Low,No,0,PPE Non-compliance,PPE reinforcement,Md. Shahidul Islam,2025-02-27,Closed
HSE-0100,2025-06-27,Narayanganj Production Plant,Engineering & Maintenance,First Aid Case,Low,No,0,Unsafe Act,5S housekeeping action,Md. Moniruzzaman,2025-07-27,Closed
HSE-0101,2025-12-01,Narayanganj Production Plant,HR & Administration,Near Miss,Low,No,0,Housekeeping,PPE reinforcement,Nusrat Jahan,2025-12-15,In Progress
HSE-0102,2025-02-23,Chattogram Distribution Hub,Quality Assurance,Unsafe Condition,Low,No,0,Inadequate Guarding,Supervisor coaching,Ashikur Rahman,2025-03-02,Closed
HSE-0103,2025-09-23,Narayanganj Production Plant,Production,Near Miss,Low,No,0,PPE Non-compliance,Preventive maintenance completed,Abdul Karim,2025-10-14,Closed
HSE-0104,2025-07-07,Gazipur Manufacturing Unit,Quality Assurance,Near Miss,Low,No,0,Slip / Trip,5S housekeeping action,Dr. Samira Sultana,2025-07-20,Closed
HSE-0105,2025-07-26,Narayanganj Production Plant,Production,Unsafe Condition,Low,No,0,Inadequate Guarding,SOP revised,Md. Shahidul Islam,2025-08-18,Closed
HSE-0106,2025-09-13,Gazipur Manufacturing Unit,Engineering & Maintenance,First Aid Case,Low,No,0,Housekeeping,Toolbox talk and retraining,Rakibul Hasan,2025-09-29,Closed
HSE-0107,2025-05-15,Gazipur Manufacturing Unit,Quality Assurance,Lost Time Injury,High,Yes,12,Slip / Trip,Engineering control installed,Dr. Samira Sultana,2025-06-06,Closed
HSE-0108,2025-06-05,Dhaka Corporate Office,Supply Chain & Logistics,Medical Treatment Case,Medium,No,1,Housekeeping,Supervisor coaching,Rezaul Karim,2025-07-03,Closed
HSE-0109,2025-01-13,Gazipur Manufacturing Unit,Supply Chain & Logistics,First Aid Case,Low,No,0,Equipment Condition,PPE reinforcement,Mahmudul Hasan,2025-01-20,In Progress
HSE-0110,2025-12-01,Gazipur Manufacturing Unit,Supply Chain & Logistics,First Aid Case,Low,No,0,Housekeeping,SOP revised,Mahmudul Hasan,2025-12-27,Closed
HSE-0111,2025-04-07,Narayanganj Production Plant,Supply Chain & Logistics,Near Miss,Low,No,0,Procedure Not Followed,PPE reinforcement,Mahmudul Hasan,2025-05-01,Closed
HSE-0112,2025-01-06,Dhaka Corporate Office,Engineering & Maintenance,Property Damage,Medium,No,0,Manual Handling,Supervisor coaching,Md. Moniruzzaman,2025-01-13,Closed
HSE-0113,2025-11-14,Gazipur Manufacturing Unit,Production,Unsafe Condition,Low,No,0,Unsafe Act,Engineering control installed,Md. Shahidul Islam,2025-12-11,In Progress
HSE-0114,2025-12-02,Chattogram Distribution Hub,Quality Assurance,First Aid Case,Low,No,0,Procedure Not Followed,Preventive maintenance completed,Dr. Samira Sultana,2025-12-30,Closed
HSE-0115,2025-04-15,Gazipur Manufacturing Unit,Production,Lost Time Injury,High,Yes,14,Housekeeping,SOP revised,Abdul Karim,2025-05-01,Closed
HSE-0116,2025-04-21,Gazipur Manufacturing Unit,Production,First Aid Case,Low,No,0,Equipment Condition,Engineering control installed,Abdul Karim,2025-05-06,Closed
HSE-0117,2025-02-04,Narayanganj Production Plant,Supply Chain & Logistics,Medical Treatment Case,Medium,No,0,Equipment Condition,Engineering control installed,Mahmudul Hasan,2025-02-12,In Progress
HSE-0118,2025-01-13,Gazipur Manufacturing Unit,Supply Chain & Logistics,Unsafe Condition,Low,No,0,Manual Handling,Toolbox talk and retraining,Rezaul Karim,2025-01-23,Closed
HSE-0119,2025-10-23,Gazipur Manufacturing Unit,Production,Near Miss,Low,No,0,Inadequate Guarding,SOP revised,Md. Shahidul Islam,2025-11-15,Closed
HSE-0120,2025-06-24,Gazipur Manufacturing Unit,Production,Near Miss,Low,No,0,Unsafe Act,SOP revised,Abdul Karim,2025-07-14,Closed
